X,Y,type,name,longitude,latitude
-91333.42319,6811324.701,police,Wolverton Police Station,-0.8204621000253334,52.06189549908082
-54670.64946,6687154.241,police,Addlestone Police,-0.4911148000265866,51.37083549951935
-335296.2766,6671983.242,police,Police Beat Post,-3.0120176997814663,51.28567779901382
-131509.095,6963882.968,police,Clifton Police Station,-1.1813663003922612,52.8965371022924
-344974.6603,7053607.422,police,Upton Police Station,-3.0989600998142985,53.380043501606345
-29499.03054,6680401.445,police,Epsom Police Counter (in Town Hall),-0.26499430000790536,51.33295030168012
-263121.461,6744538.313,police,Dursley Police Station,-2.3636602999615857,51.69151420272084
-176528.5672,6738411.861,police,Faringdon Police Station,-1.5857830999948002,51.65738549935452
-135524.979,6969548.158,police,Beeston Police Station,-1.2174416001567716,52.92722670163366
-411080.059,6522056.593,police,Totnes Police,-3.6927949999645464,50.43558820268302
-386729.31,6656818.638,police,Minehead Police Station,-3.4740484998999643,51.200397899326546
-127699.3858,6979225.585,police,Safer Sherwood,-1.1471431003681538,52.97960119735102
-190890.8855,6734028.29,police,Highworth police station,-1.7148020004375955,51.632950099535876
-512.6707829,6717037.729,police,Stratford Safer Neighbourhood Team,-0.004605400000005909,51.538114900317474
-338478.6671,7061479.581,police,Wallasey Police Station,-3.0406056000433344,53.42220550266341
-31925.90676,7209777.116,police,Filey Police Office,-0.2867953000188275,54.20867919741983
69451.81842,6881349.632,police,Brandon Police Station,0.6238962999657971,52.44696590172466
-101110.948,6675198.329,police,Hartley Wintney Police Station,-0.9082950998021415,51.30373790006173
-215085.1526,6882112.783,police,West Midlands police room,-1.9321427996775964,52.45114410129317
-331209.5155,7044411.626,police,Bromborough Police Station,-2.975305700194715,53.33073939828069
-334648.297,7048018.298,police,Bebington Police Station,-3.00619679999669,53.350083699067554
-149706.8483,6903152.028,police,Barwell Neighbourhood Team,-1.344839499652526,52.56617650228274
-335442.4502,7056088.507,police,Birkenhead Police Station,-3.0133307995716145,53.393336297386476
-340255.9384,7057523.463,police,Merseyside Police Laird Street,-3.056571099771504,53.401022401270964
-455576.3519,6508750.975,police,Plymstock Fire Station,-4.092511999951836,50.359395198099975
-281484.3346,7061468.671,police,Risley Police Station,-2.528616800113934,53.42214709938841
16426.04803,6707351.135,police,Belvedere Police Station,0.14755770003030358,51.4839591981807
-108340.2361,6704377.89,police,Church House,-0.9732368997374753,51.46732349878596
-229023.0208,7073103.658,police,Stalybridge Police Post,-2.0573487999986306,53.484385797772354
-128366.5123,7021244.844,police,Warsop Town Hall,-1.1531359996820654,53.20627560253701
-248006.8568,6985387.129,police,Newcastle Police Station,-2.2278835002988147,53.01291459883727
145552.6832,6914221.595,police,British Transport Police Norwich,1.3075219996316667,52.626578702151285
-18376.3989,6656789.574,police,Salfords Custody,-0.16507799998947162,51.20023430274449
-153358.6174,7270012.647,police,Police Tactical Training Centre,-1.3776438996185798,54.52392559951193
-120822.9693,7162149.001,police,North Street Police Station,-1.085371199948937,53.95769869923437
-3837.383223,6742197.349,police,Safer Neighbourhoods Station,-0.034471800002447296,51.67847640099248
77225.59242,6718064.968,police,Westcliff Police Station,0.6937292999607065,51.543854201523985
-10208.21994,6712076.364,police,City of London Police,-0.09170199995755664,51.5103849983734
-211561.4009,6718299.526,police,Royal Wootton Bassett Police Station,-1.900488399582075,51.54516460226026
-40906.77366,6718967.347,police,Metropolitan Police ward office,-0.36747180002795854,51.54889529851873
-18560.8219,6923384.476,police,Crowland Police Station,-0.16673469998590335,52.67651390024535
-17679.65021,6737474.955,police,Colindale,-0.15881900001529906,51.65216399796787
-32913.34404,6903906.171,police,Thorpe Wood Police Station,-0.2956656000261616,52.57029420264835
-297484.9195,7098293.055,police,Coppull Police Station,-2.672352499819155,53.61881839921615
-461288.1884,6542035.91,police,Tavistock Police Station,-4.143822300235253,50.54976740071643
-253426.1456,7182966.887,police,Settle Police Station,-2.276565799879792,54.06758709919021
-33472.02317,6703800.121,police,Richmond Police Station,-0.3006843000401375,51.46409010069089
22273.05975,6719076.439,police,Elm Park Ward,0.20008229997532329,51.549504697900986
-164533.0126,7046919.677,police,Woodseats Police Station - No Public Desk,-1.4780251996080978,53.34419220042488
-155798.3845,7056588.017,police,South Yorkshire Police Command Centre,-1.3995607003747992,53.39601199738839
-562782.9549,6492468.308,police,Truro Police Station,-5.0555653002861725,50.265987801000506
-152900.3596,6899212.412,police,Hinckley Police Station,-1.37352729976051,52.544659497564986
-222108.444,7151376.189,police,Crosshills Police Station,-1.995234099772048,53.90071979976518
-177599.4607,7225160.549,police,Bedale,-1.5954030999819426,54.28941949775509
-133414.7733,7193453.155,police,Easingwold Police Station,-1.1984852998273106,54.12282959849015
-191795.4342,7242008.114,police,Catterick Garrison Police Station,-1.7229276996619995,54.37766309897957
-222589.5891,7183799.621,police,Grassington Police Station,-1.9995562997441403,54.071976697875975
-211452.6641,6886894.527,police,Britsh Transport Police,-1.8995116002882124,52.47731480164506
-234596.5205,7073065.794,police,Ashton under lyne Police Station,-2.107416399664086,53.48418340089215
-30246.14017,6591930.488,police,Shoreham Police Station,-0.27170570000332417,50.83370430154656
-287279.9835,7051881.078,police,Stockton Heath Police Station,-2.580679999996539,53.370791898365205
-303311.1145,6630800.188,police,Somerton Police Station,-2.7246900999867623,51.053711600454776
-192890.2058,7247749.713,police,Ricmond Police Station,-1.7327622002709995,54.40769299780732
-120763.0349,7283371.605,police,Redcar & Cleveland HQ,-1.0848328000732919,54.5935130003248
-204363.0485,7333471.148,police,Consett Police Station,-1.8358244997680901,54.85342729972254
-154178.8195,7155877.628,police,Wetherby Police Station,-1.3850119004435493,53.92453799736072
-33100.34965,7036316.254,police,Wragby Police Station,-0.29734550000295246,53.28728810198482
-120394.7455,7163045.916,police,Minster Police Office,-1.0815244001032998,53.96243909988114
-205216.5796,6572862.204,police,Boscombe Police Hub,-1.843491900094104,50.72539460216667
-11403.60203,6726287.027,police,Turnpike Parade Safer Neighbourhood Team base,-0.102440299975654,51.589765702177374
-38206.18507,7121518.579,police,Osborne Street Police Station,-0.34321199996280066,53.74239189947461
-180187.7502,7355373.267,police,Northumbria Police,-1.6186541001577037,54.966531499151934
-28343.84592,6717713.0,police,Harlesden Police Station,-0.2546171000066474,51.541887797763884
-80812.15057,6871992.497,police,Kettering Customer Service Centre,-0.725947899995991,52.39570399918647
