x,y,type,name
-185618.1153,7351180.592,police,Whickham Police Station
-57097.21398,6784178.018,police,Houghton Regis Police Station
-113316.9409,7020394.7,police,Ollerton Police Station
-82472.99285,6618631.683,police,Midhurst Police Station
-155424.351,7079961.493,police,Wombwell Police Station
-270079.9645,7060660.727,police,Partington Police Station
-207595.2099,7118501.002,police,Halifax Police Station
-36775.15076,6601483.528,police,Steyning Police Station
-337370.181,7123567.901,police,St Anne's Police Station
-346451.0128,7057420.735,police,Chadwick street
-337636.9916,7054533.987,police,Red Light Camera 30mph
-193813.3115,7043985.09,police,Hope Valley Police Station
-231496.1057,6948735.656,police,Staffordshire Police HQ
-136076.478,7271989.5,police,Cleveland Police HQ
-480153.0461,6533757.737,police,Callington Police Station
-249216.2651,6775859.966,police,British Transport Police
-19155.47949,7002662.641,police,Coningsby
-148618.7003,6597962.501,police,Police Training College
-243451.1623,6838162.615,police,West Mercia Constabulary
-146314.3646,6624550.018,police,Twyford Police Annexe
-140517.48,6982707.574,police,Kimberley Police Station
-144611.31,6740708.064,police,Thames Valley Police
-108175.1716,6648008.564,police,Alton Police Station
-245215.4092,6678231.569,police,Trowbridge Police Station
-240070.4673,6948152.925,police,Central Motorway Police Group
-192114.8878,7127782.745,police,"West Yorkshire Police, Data center"
-336890.0155,7055247.344,police,The Pyramids
-242254.3219,7072083.81,police,Greater Manchester Police Training Unit
-15997.73515,6685029.634,police,Wallington Police Station
-330808.6985,7155964.703,police,Preesall Police Station
-208514.2303,6838949.012,police,Alcester
-176946.0598,6757594.287,police,Community Police Station
-67312.1131,7022871.508,police,Birchwood Police Station
-160009.0219,7360500.63,police,South Shields Police Station
-135553.5881,7020306.258,police,Shirebrook Police Station
-235363.9348,7067578.443,police,Denton Police Station
-279392.6525,6834252.661,police,Bromyard Police Station
-12372.24858,7088970.69,police,Cromwell Road Police Station
-312156.4388,6898089.819,police,West Mercia Police
123732.794,6939204.311,police,Reepham Police Station
-89576.57898,6765972.61,police,Aylesbury Police Station
-157458.6479,7312809.524,police,Wheatley Hill Police Station
-175656.6907,7272033.34,police,Cockerton Police Section Office
-45708.02782,7215769.223,police,Eastfield Police Station
-45292.89518,7223599.424,police,Scarborough Northway Police Station
-56419.7013,6713852.453,police,Iver Police Station
-145564.1491,6996441.746,police,Tin Hat Centre
69099.21394,6735995.254,police,South Woodham Ferrers Police Station
-134116.3533,6989620.385,police,Hucknall Police Station
-37143.22865,6724169.699,police,Harrow Central Police Station
-242826.1924,6897671.148,police,Wombourne Police Station
-118018.7757,7217193.178,police,Helmsley Police Office
-203108.3888,7155778.418,police,Ilkley Police Station
-247091.6658,6745133.527,police,Nailsworth Police Station
-496937.2423,6525825.511,police,Liskeard Police Station
-99414.04936,7275874.909,police,Loftus Police Station
-14388.60078,6733985.606,police,Southgate Police Station
-147137.2605,6796701.204,police,Deddington Police Office
-176051.6522,7109489.677,police,Ossett Police Station
-150960.2947,6605936.49,police,Bitterne Police Station
-335093.4748,7156412.967,police,Fleetwood Police Station
-129553.9128,6573185.228,police,Ryde Police Station
-189422.9042,7096440.576,police,Police station (part time)
-466908.4757,6511434.197,police,Torpoint Police Station
-145539.7813,6996250.238,police,Police Contact Point
-192204.0547,6695656.06,police,Marlborough Police Station
-126481.1386,6754552.734,police,Community Police Station
-241089.664,7143015.797,police,Colne police station
-40887.12577,6686555.687,police,Esher Police Station
-329341.708,7120588.764,police,Lytham Police Station
-130494.2397,7280019.674,police,South Bank Police Station.
-72356.7562,7092664.094,police,Scunthorpe Police Station
-58285.56068,7025535.306,police,Abbey Neighbourhood Office
-402180.8116,6538179.936,police,Newton Abbot Police Station
-326450.6518,7340673.972,police,British Transport Police
-104642.1247,6666171.058,police,Odiham Poice Station
-164214.7836,7331177.492,police,Houghton Police Station
28809.43969,6779921.232,police,Stansted Airport Police Station
-241013.6996,6797789.419,police,Tewkesbury Police Station
10636.6998,6707830.975,police,Plumstead Police Station
-10651.72793,6710146.714,police,Overseas Visitors Records Office
21293.04748,6713887.93,police,Rainham Police Station
7295.411885,6711564.51,police,Security Office
-24160.48172,6761748.652,police,Hertfordshire Constabulary Headquarters
-271860.1635,6931163.223,police,Donnington Police Station
-22549.53284,7098354.95,police,Immingham Police Station
