type,name,latitude,longitude
NHS Hospital,South Petherton Community Hospital,50.95209503,-2.798842669
NHS Hospital,Wincanton Community Hospital,51.05875778,-2.418154716
NHS Hospital,Dene Barton Community Hospital ,51.03759003,-3.182197571
NHS Hospital,Frome Community Hospital ,51.23731995,-2.311554432
NHS Hospital,Royal Devon and Exeter Hospital (Wonford),50.71670914,-3.506666422
NHS Hospital,Heavitree Hospital,50.72439194,-3.514011145
NHS Hospital,Okehampton Community Hospital,50.74192047,-3.99718833
NHS Hospital,Ottery St Mary Hospital,50.75011826,-3.291560888
NHS Hospital,Tiverton and District Hospital,50.90941238,-3.492953062
NHS Hospital,Honiton Hospital,50.79493332,-3.186563015
NHS Hospital,Axminster Hospital,50.7838974,-2.996254683
NHS Hospital,Exmouth Hospital,50.62055206,-3.401594639
NHS Hospital,Victoria Hospital (Sidmouth),50.68161392,-3.239641666
NHS Hospital,Rampton Hospital,53.2903862,-0.838197649
NHS Hospital,Lings Bar Hospital,52.92256546,-1.09980166
NHS Hospital,Southampton General Hospital,50.93302155,-1.435089946
NHS Hospital,Princess Anne Hospital,50.93526077,-1.434849381
NHS Hospital,Charles Clifford Dental Hospital,53.37979889,-1.493765235
NHS Hospital,Royal Hallamshire Hospital,53.37835693,-1.493316293
NHS Hospital,Northern General Hospital,53.40887833,-1.460876465
NHS Hospital,Weston Park Hospital,53.38025284,-1.494917393
NHS Hospital,St Mary,50.80013657,-1.063932061
NHS Hospital,Queen Alexandra Hospital,50.85029984,-1.069917679
NHS Hospital,Gosport War Memorial Hospital - Portsmouth Hospitals NHS Trust,50.79306412,-1.148066759
NHS Hospital,Royal Berkshire Hospital,51.4510231,-0.959315777
NHS Hospital,Prince Charles Eye Unit,51.47354507,-0.614692628
NHS Hospital,Guy's Hospital,51.50346375,-0.08680556
NHS Hospital,St Thomas',51.49795914,-0.118890636
NHS Hospital,University Hospital Lewisham,51.45433044,-0.017036438
NHS Hospital,Croydon University Hospital,51.38912964,-0.108768813
NHS Hospital,Purley War Memorial Hospital,51.3407402,-0.114451215
NHS Hospital,St George's Hospital,51.42668152,-0.175704554
NHS Hospital,Queen Mary - St George's University Hospitals NHS Foundation Trust,51.45555115,-0.241715029
NHS Hospital,St Austell Community Hospital - Cornwall Partnership NHS Foundation Trust,50.32788467,-4.772349834
NHS Hospital,Newquay Hospital - Cornwall Partnership NHS Foundation Trust,50.41106415,-5.074197769
NHS Hospital,Camborne Redruth Community Hospital - Cornwall Partnership NHS Foundation Trust,50.22938919,-5.244363308
NHS Hospital,Bodmin Hospital - Cornwall Partnership NHS Foundation Trust,50.46724701,-4.74114418
NHS Hospital,Stratton Hospital - Cornwall Partnership NHS Foundation Trust,50.83075333,-4.517526627
NHS Hospital,Launceston Hospital - Cornwall Partnership NHS Foundation Trust,50.62839127,-4.359761238
NHS Hospital,Warwick Hospital,52.28995132,-1.583200693
NHS Hospital,Stratford Hospital,52.19526672,-1.713385463
NHS Hospital,Ellen Badger Hospital,52.0668602,-1.622537017
NHS Hospital,Royal Stoke University Hospital,53.00315857,-2.212051868
NHS Hospital,Sir Robert Peel Hospital,52.6206665,-1.723852634
NHS Hospital,"Diana, Princess Of Wales Hospital",53.54485703,-0.096213497
NHS Hospital,Scunthorpe General Hospital,53.58758545,-0.667584062
NHS Hospital,Congleton War Memorial Hospital,53.15802765,-2.202660799
NHS Hospital,Knutsford and District Community Hospital,53.30200577,-2.378590345
NHS Hospital,Macclesfield District General Hospital,53.26232529,-2.141059637
NHS Hospital,Countess Of Chester Hospital,53.21153259,-2.902284384
NHS Hospital,Ellesmere Port Hospital,53.2677803,-2.911025286
NHS Hospital,King's College Hospital,51.46807861,-0.093901388
NHS Hospital,King's Mill Hospital,53.13455582,-1.233566165
NHS Hospital,Mansfield Community Hospital,53.14136124,-1.206266642
NHS Hospital,Newark Hospital,53.0675087,-0.806145906
NHS Hospital,Derriford Hospital,50.41672897,-4.113671303
NHS Hospital,Royal Eye Infirmary,50.41672897,-4.113671303
NHS Hospital,University Hospital (Coventry),52.42121506,-1.438388586
NHS Hospital,Hospital Of St Cross,52.36527634,-1.259016037
NHS Hospital,Hornsey Central Neighbourhood Health Centre,51.5834198,-0.13102442
NHS Hospital,The Whittington Hospital,51.56647873,-0.139077902
NHS Hospital,Cassel Hospital,51.43291092,-0.308085978
NHS Hospital,Broadmoor Hospital,51.36908722,-0.780985534
NHS Hospital,The Robert Jones and Agnes Hunt Orthopaedic Hospital,52.88452911,-3.03311491
NHS Hospital,New Cross Hospital,52.59972763,-2.095540524
NHS Hospital,Sunderland Royal Hospital,54.90221024,-1.410297871
NHS Hospital,Sunderland Eye Infirmary,54.8890686,-1.381056666
NHS Hospital,"The County Hospital, Wye Valley NHS Trust",52.05873489,-2.707180262
NHS Hospital,Bromyard Community Hospital,52.18632889,-2.506896019
NHS Hospital,Leominster Community Hospital,52.22218704,-2.739360332
NHS Hospital,Ross on Wye Community Hospital ,51.91257477,-2.583386898
NHS Hospital,George Eliot Hospital,52.51258469,-1.478424549
NHS Hospital,Harplands Hospital,53.00043869,-2.208298683
NHS Hospital,Norfolk and Norwich University Hospital,52.61754227,1.22118938
NHS Hospital,Cromer and District Hospital,52.92356491,1.309174538
NHS Hospital,Salford Royal,53.48754883,-2.323409557
NHS Hospital,Royal Bolton Hospital,53.55396271,-2.429878712
NHS Hospital,Tameside & Glossop Integrated Care NHS Foundation Trust,53.49153519,-2.071418524
NHS Hospital,Wellbeing Norfolk & Waveney,52.65953064,1.250886321
